"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2021";"Dinteloord en Prinsenland";
"Total male and female";"2010";"Dinther";
"Total male and female";"2020";"Dinther";
"Total male and female";"2021";"Dinther";
"Total male and female";"2010";"Dinxperlo";
"Total male and female";"2020";"Dinxperlo";
"Total male and female";"2021";"Dinxperlo";
"Total male and female";"2010";"Dirksland";8439
"Total male and female";"2020";"Dirksland";
"Total male and female";"2021";"Dirksland";
"Total male and female";"2010";"Dodewaard";
"Total male and female";"2020";"Dodewaard";
"Total male and female";"2021";"Dodewaard";
"Total male and female";"2010";"Doesburg";11600
"Total male and female";"2020";"Doesburg";11077
"Total male and female";"2021";"Doesburg";11064
"Total male and female";"2010";"Doetinchem";56108
"Total male and female";"2020";"Doetinchem";58001
"Total male and female";"2021";"Doetinchem";58270
"Total male and female";"2010";"Dokkum";
